annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K00339,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00340,-6.316884328311557,0.5226205007776785,0.4489175964216457,akkermansia_muciniphila
K00341,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00342,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00343,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00354,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00380,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00381,-9.998101579240682,-0.7589889540364386,-2.4965716578073147,akkermansia_muciniphila
K00382,-5.335372232522312,0.25649245192598347,-2.7473313796177714,akkermansia_muciniphila
K00384,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00390,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00405,-10.47603585986723,-1.58977389349629,-0.897141451343813,akkermansia_muciniphila
K00406,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00425,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00426,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00428,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00525,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00537,-12.905129465061227,0.6596925963193606,1.4112998871156295,akkermansia_muciniphila
K00548,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00549,-10.101079351047439,-2.5754587945032763,-1.590688719433107,akkermansia_muciniphila
K00554,-5.211361693183399,-2.8665070792125498,0.1926776196078671,akkermansia_muciniphila
K00558,-12.129767561309317,1.2665929630782669,1.3240011573600707,akkermansia_muciniphila
K00560,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00561,-12.19694333708145,-2.157058677843843,-2.3877043132138995,akkermansia_muciniphila
K00566,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00567,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00571,-9.637740376477018,-0.7116782074346484,-0.30570903696704027,akkermansia_muciniphila
K00590,-11.630155187432079,-2.55080221610683,-2.7924418671864357,akkermansia_muciniphila
K00598,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00600,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00602,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00604,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00605,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00606,-5.211361693183399,-2.8665070792125498,0.1926776196078671,akkermansia_muciniphila
K00609,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00611,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00620,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00625,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00627,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00639,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00640,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00641,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00645,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00648,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00652,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00655,-6.3168843283115566,0.5226205007776784,0.44891759642164564,akkermansia_muciniphila
K00656,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00658,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00661,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00677,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00683,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00684,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00700,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00705,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00712,-7.764601368881592,1.1622837123746121,-2.823007450227818,akkermansia_muciniphila
K00718,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00748,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00754,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00760,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00762,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00764,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00765,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00767,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00768,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00773,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00783,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00788,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00789,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00790,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00791,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00793,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00794,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00796,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00798,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00801,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00806,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00812,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00817,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00821,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00824,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00830,-7.951547161226599,-0.5518578756832857,1.1411903464400472,akkermansia_muciniphila
K00833,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00835,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00847,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
